질문 index,turn number,질문 카테고리 2단계,질문지,기대 행동,정답지,평가,평가 원인,평가 결과,응답 json 경로
STS-001,1,단일 필터 > 단일 필터 적용,탄소강용 추천해줘,"한 개의 명시적 조건만 추출해 추천 엔진 상태에 반영해야 한다. 조건이 충분하지 않으면 다음에 필요한 핵심 조건만 짧게 질문하고, 조회성 요청이면 그 의도에 맞게 바로 응답해야 한다.",필수 필터/의도: material=P | 기대 결과: 단일 필터 적용 후 추천 또는 조회/재질문,통과,필수 필터 적용 확인: material=P,purpose=question | filters=material=P,responses/STS-001/turn_01.json
STS-002,1,단일 필터 > 단일 필터 적용,Ball 형상으로만 보여줘,"한 개의 명시적 조건만 추출해 추천 엔진 상태에 반영해야 한다. 조건이 충분하지 않으면 다음에 필요한 핵심 조건만 짧게 질문하고, 조회성 요청이면 그 의도에 맞게 바로 응답해야 한다.",필수 필터/의도: toolSubtype=Ball | 기대 결과: 단일 필터 적용 후 추천 또는 조회/재질문,통과,필수 필터 적용 확인: toolSubtype=Ball,purpose=question | filters=toolSubtype=Ball,responses/STS-002/turn_01.json
STS-003,1,단일 필터 > 단일 필터 적용,직경 8mm 제품만 보고 싶어,"한 개의 명시적 조건만 추출해 추천 엔진 상태에 반영해야 한다. 조건이 충분하지 않으면 다음에 필요한 핵심 조건만 짧게 질문하고, 조회성 요청이면 그 의도에 맞게 바로 응답해야 한다.",필수 필터/의도: diameterMm=8 | 기대 결과: 단일 필터 적용 후 추천 또는 조회/재질문,통과,필수 필터 적용 확인: diameterMm=8,purpose=question | filters=diameterMm=8,responses/STS-003/turn_01.json
STS-004,1,단일 필터 > 단일 필터 적용,5날 제품으로 추천해줘,"한 개의 명시적 조건만 추출해 추천 엔진 상태에 반영해야 한다. 조건이 충분하지 않으면 다음에 필요한 핵심 조건만 짧게 질문하고, 조회성 요청이면 그 의도에 맞게 바로 응답해야 한다.",필수 필터/의도: fluteCount=5 | 기대 결과: 단일 필터 적용 후 추천 또는 조회/재질문,통과,필수 필터 적용 확인: fluteCount=5,purpose=question | filters=fluteCount=5,responses/STS-004/turn_01.json
STS-005,1,단일 필터 > 단일 필터 적용,DLC 코팅 제품 보여줘,"한 개의 명시적 조건만 추출해 추천 엔진 상태에 반영해야 한다. 조건이 충분하지 않으면 다음에 필요한 핵심 조건만 짧게 질문하고, 조회성 요청이면 그 의도에 맞게 바로 응답해야 한다.",필수 필터/의도: coating=DLC | 기대 결과: 단일 필터 적용 후 추천 또는 조회/재질문,통과,필수 필터 적용 확인: coating=DLC,purpose=question | filters=coating=DLC,responses/STS-005/turn_01.json
STS-006,1,단일 필터 > 단일 필터 적용,미주 재고 기준으로만 볼래,"한 개의 명시적 조건만 추출해 추천 엔진 상태에 반영해야 한다. 조건이 충분하지 않으면 다음에 필요한 핵심 조건만 짧게 질문하고, 조회성 요청이면 그 의도에 맞게 바로 응답해야 한다.",필수 필터/의도: countryCode=AMERICA | 기대 결과: 단일 필터 적용 후 추천 또는 조회/재질문,통과,필수 필터 적용 확인: countryCode=AMERICA,purpose=question | filters=countryCode=AMERICA,responses/STS-006/turn_01.json
STS-007,1,단일 필터 > 단일 필터 적용,ALU-CUT 브랜드 위주로 추천해줘,"한 개의 명시적 조건만 추출해 추천 엔진 상태에 반영해야 한다. 조건이 충분하지 않으면 다음에 필요한 핵심 조건만 짧게 질문하고, 조회성 요청이면 그 의도에 맞게 바로 응답해야 한다.",필수 필터/의도: brand=ALU-CUT for Korean Market | 기대 결과: 단일 필터 적용 후 추천 또는 조회/재질문,통과,필수 필터 적용 확인: brand=ALU-CUT for Korean Market,purpose=question | filters=brand=ALU-CUT for Korean Market,responses/STS-007/turn_01.json
STS-008,1,단일 필터 > 단일 필터 적용,SEME75 시리즈로 찾아줘,"한 개의 명시적 조건만 추출해 추천 엔진 상태에 반영해야 한다. 조건이 충분하지 않으면 다음에 필요한 핵심 조건만 짧게 질문하고, 조회성 요청이면 그 의도에 맞게 바로 응답해야 한다.",필수 필터/의도: seriesName=SEME75 | 기대 결과: 단일 필터 적용 후 추천 또는 조회/재질문,통과,필수 필터 적용 확인: seriesName=SEME75,purpose=question | filters=seriesName=SEME75,responses/STS-008/turn_01.json
STS-009,1,단일 필터 > 단일 필터 적용,CG3S1306045 제품 알려줘,"한 개의 명시적 조건만 추출해 추천 엔진 상태에 반영해야 한다. 조건이 충분하지 않으면 다음에 필요한 핵심 조건만 짧게 질문하고, 조회성 요청이면 그 의도에 맞게 바로 응답해야 한다.",필수 필터/의도: productCode=CG3S1306045 | 기대 결과: 단일 필터 적용 후 추천 또는 조회/재질문,통과,설명형 응답이 확인됩니다.,purpose=question | filters=seriesName=CG3S13,responses/STS-009/turn_01.json
STS-010,1,단일 필터 > 단일 필터 적용,Side Milling 가공 기준으로 추천해줘,"한 개의 명시적 조건만 추출해 추천 엔진 상태에 반영해야 한다. 조건이 충분하지 않으면 다음에 필요한 핵심 조건만 짧게 질문하고, 조회성 요청이면 그 의도에 맞게 바로 응답해야 한다.",필수 필터/의도: cuttingType=Side_Milling | 기대 결과: 단일 필터 적용 후 추천 또는 조회/재질문,통과,필수 필터 적용 확인: cuttingType=Side_Milling,purpose=question | filters=cuttingType=Side_Milling,responses/STS-010/turn_01.json
STS-011,1,단일 필터 > 단일 필터 적용,합금강용 추천해줘,"한 개의 명시적 조건만 추출해 추천 엔진 상태에 반영해야 한다. 조건이 충분하지 않으면 다음에 필요한 핵심 조건만 짧게 질문하고, 조회성 요청이면 그 의도에 맞게 바로 응답해야 한다.",필수 필터/의도: workPieceName=Alloy Steels | 기대 결과: 단일 필터 적용 후 추천 또는 조회/재질문,실패,필수 필터 미적용: workPieceName=Alloy Steels,purpose=question | filters=none,responses/STS-011/turn_01.json
STS-012,1,단일 필터 > 단일 필터 적용,Roughing 형상으로만 보여줘,"한 개의 명시적 조건만 추출해 추천 엔진 상태에 반영해야 한다. 조건이 충분하지 않으면 다음에 필요한 핵심 조건만 짧게 질문하고, 조회성 요청이면 그 의도에 맞게 바로 응답해야 한다.",필수 필터/의도: toolSubtype=Roughing | 기대 결과: 단일 필터 적용 후 추천 또는 조회/재질문,실패,필수 필터 미적용: toolSubtype=Roughing,purpose=question | filters=none,responses/STS-012/turn_01.json
STS-013,1,단일 필터 > 단일 필터 적용,직경 16mm 제품만 보고 싶어,"한 개의 명시적 조건만 추출해 추천 엔진 상태에 반영해야 한다. 조건이 충분하지 않으면 다음에 필요한 핵심 조건만 짧게 질문하고, 조회성 요청이면 그 의도에 맞게 바로 응답해야 한다.",필수 필터/의도: diameterMm=16 | 기대 결과: 단일 필터 적용 후 추천 또는 조회/재질문,통과,필수 필터 적용 확인: diameterMm=16,purpose=question | filters=diameterMm=16,responses/STS-013/turn_01.json
STS-014,1,단일 필터 > 단일 필터 적용,3날 제품으로 추천해줘,"한 개의 명시적 조건만 추출해 추천 엔진 상태에 반영해야 한다. 조건이 충분하지 않으면 다음에 필요한 핵심 조건만 짧게 질문하고, 조회성 요청이면 그 의도에 맞게 바로 응답해야 한다.",필수 필터/의도: fluteCount=3 | 기대 결과: 단일 필터 적용 후 추천 또는 조회/재질문,통과,필수 필터 적용 확인: fluteCount=3,purpose=question | filters=fluteCount=3,responses/STS-014/turn_01.json
