question,answer,series,brand,category
ALU-CUT E5D72 시리즈가 뭐야?,"ALU-CUT E5D72은(는) 3날 래디우스 E5D72 시리즈, 엔드밀, 3날입니다.",E5D72,ALU-CUT,product_overview
ALU-CUT E5D72은 어떤 소재에 쓸 수 있어?,"ALU-CUT E5D72은(는) 알루미늄, 비철금속 등의 소재 가공에 적합합니다. ISO 그룹 N(비철금속(알루미늄 등))에 해당합니다.",E5D72,ALU-CUT,material_target
ALU-CUT E5D72의 특징이 뭐야?,"ALU-CUT E5D72의 주요 특징: 3날 래디우스 시리즈. 슬로팅 및 사이드컷팅 절삭조건 수록. 추천 절삭조건 페이지. 슬로팅 및 사이드컷팅 절삭조건 제공. 알루미늄, 비철금속용.",E5D72,ALU-CUT,feature
ALU-CUT E5D72의 사양이 어떻게 돼?,"ALU-CUT E5D72 사양: 날 수 3, 직경 범위 D1.0~D20.0.",E5D72,ALU-CUT,tool_shape
ALU-CUT E5D72은 어디에 쓰는 거야?,"ALU-CUT E5D72은(는) 슬로팅, 사이드컷팅 등에 사용됩니다.",E5D72,ALU-CUT,application
비철금속(알루미늄 등) 가공할 때 쓸만한 엔드밀 있어?,"ALU-CUT E5D72 시리즈를 추천합니다. 3날 래디우스 E5D72 시리즈이며, ISO N(비철금속(알루미늄 등)) 소재에 적합합니다.",E5D72,ALU-CUT,selection
ALU-CUT E5D71 시리즈가 뭐야?,"ALU-CUT E5D71은(는) 2날 스퀘어 E5D71 시리즈, 엔드밀, 재질은 초경, 2날입니다.",E5D71,ALU-CUT,product_overview
ALU-CUT E5D71은 어떤 소재에 쓸 수 있어?,"ALU-CUT E5D71은(는) 알루미늄, 비철금속, 알루미늄, 알루미늄 합금, 비철금속, 알루미늄 전신재 합금, 알루미늄 주조 합금ed, 구리 및 구리 합금 (청동 / 황동) 등의 소재 가공에 적합합니다. ISO 그룹 N(비철금속(알루미늄 등)), P(일반강/합금강), M(스테인리스강), K(주철), S(내열합금/티타늄), H(고경도강)에 해당합니다.",E5D71,ALU-CUT,material_target
ALU-CUT E5D71의 코팅이랑 재질은?,ALU-CUT E5D71의 공구 재질은 초경입니다.,E5D71,ALU-CUT,coating_material
ALU-CUT E5D71의 특징이 뭐야?,ALU-CUT E5D71의 주요 특징: 비철금속 피삭재 가공에 적합하며 다음을 포함: 알루미늄 및 알루미늄 합금. 피삭재 표면 조도 개선 및 내마모성 due  Mirror grdg  절삭날. Special 절삭날  mimizati  vibrati. Very small lerance  cuttg diameters. Available regular 및 lg cuttg lengths.,E5D71,ALU-CUT,feature
ALU-CUT E5D71의 사양이 어떻게 돼?,"ALU-CUT E5D71 사양: 날 수 2, 직경 범위 D1.0~D20.0, 헬릭스각 45°.",E5D71,ALU-CUT,tool_shape
